,Unnamed: 0,call,put,strike,Share,symbol,trade date,exercise date,LIBOR Rate,volatility,t,d,t_round,call_min,call_mean,call_max,vol_min,vol_mean,vol_max,vg_call_min,vg_cal_mean,vg_call_max
17,17,14.5,22.8,150,139.13999938964844,AAPL,2021-10-05,2023-01-20,0.032972,0.28314,1.873015873015873,6.423314668789374,1.0,18.095644223371742,22.978531606076995,28.42129367745768,0.2987493202133118,0.3668553704260933,0.4434244474320508,18.7544551306293,21.9583577868933,25.981172939706
18,18,11.55,43.6,150,116.36000061035156,AAPL,2021-03-08,2023-01-20,0.032972,0.3457099999999999,2.7103174603174605,11.233186616784678,2.0,9.509216033941062,13.738610290395144,17.351207727133126,0.2814806072507299,0.3453326337435079,0.3985244955316963,12.4577237757861,16.195259975108,19.6218595295515
19,19,13.33,53.0,150,107.12000274658205,AAPL,2020-09-24,2023-01-20,0.032972,0.38835,3.365079365079365,12.542934213432943,3.0,6.820668587695703,9.615286748943978,13.07381558470459,0.2570032414993762,0.301617437083957,0.3541866880385399,11.6248150779279,14.9675950828048,19.3997545485528
20,20,26.208,26.213,155,160.41000366210938,JNJ,2022-10-11,2022-11-18,0.023001,0.1085,0.1507936507936507,5.951675165200612,0.0,3.200752352078041,3.896612844981458,4.899945723390189,0.1348055576349122,0.1640705532681432,0.2062753985256323,4.1773516833225,4.93376968697995,5.61424603262994
21,21,21.141,21.793,155,155.92999267578125,JNJ,2021-11-30,2023-01-20,0.032963,0.1369999999999999,1.6507936507936507,9.790963404326844,1.0,12.315010195063875,16.0583732657392,20.43551014054312,0.1702432773536448,0.2208025243986641,0.2801884255908737,13.67274520296,15.6470388680974,19.7461799806426
22,22,23.952,22.527,155,153.07000732421875,JNJ,2021-03-04,2023-01-20,0.032972,0.1685,2.7261904761904763,9.969800126843268,2.0,16.250513170089093,20.781564322512484,27.70167649831445,0.1678066865201982,0.2170305342058758,0.2928640962171415,20.2744021478226,22.5423886732609,25.4551742269398
23,23,22.519,22.426,155,137.19000244140625,JNJ,2020-10-29,2023-01-20,0.032972,0.1002,3.2261904761904763,-2.261694748539867,3.0,15.512663770391065,19.333499811807854,25.37250615318935,0.1570398657856337,0.195988923801842,0.2580188170814753,21.54239082672,23.8842027883053,27.0490303657371
24,24,24.518,24.65,160,160.41000366210938,JNJ,2022-10-11,2022-11-18,0.023001,0.071,0.1507936507936507,1.0959871491713216,0.0,3.1255803280179606,3.9567556243201913,4.718861802925019,0.1301530820896233,0.164033441914195,0.1951029358569644,4.24885301726376,5.02714280797052,5.7295743455949
25,25,11.85,21.322,160,155.92999267578125,JNJ,2021-11-30,2023-01-20,0.032963,0.21215,1.6507936507936507,13.875768911699282,1.0,8.119787848468285,12.121895408456394,16.235276025451377,0.1649868552099473,0.2208559928702578,0.2777813033675007,10.2049784350449,11.9048590208837,15.5096336901339
26,26,14.05,22.224,160,153.07000732421875,JNJ,2021-03-04,2023-01-20,0.032972,0.22673,2.7261904761904763,14.998632152734388,2.0,11.94588022050418,16.2018382190082,21.52330287440357,0.1698217876586255,0.2169290194305639,0.2758961232515461,16.0976378864438,18.3634779070609,21.3759138715363
