,Unnamed: 0,call,put,strike,Share,symbol,trade_date,ex_date,libor_rate,volatility,t,new_libor,d,new_d,vg_im_sigma,vg_im_nu,vg_im_call,vg_im_call_1,vg_im_sigma_1,vg_im_nu_1
446,447,22.5,23.175,160,173.009994506836,JNJ,2022-06-22,2023-01-20,0.023001,23.075,0.841269841269841,0.0489362365079365,20.13822079988003,0.11010848459056427,0.22670493536815137,0.001108939724142301,23.8371642292897,23.8465499652749,0.22849995580632432,0.0011126069051607666
8777,8778,24.248,23.7,160,173.009994506836,JNJ,2022-06-22,2022-11-18,0.023001,21.2,0.591269841269841,0.0457105365079365,16.728441476828436,0.09229710644114165,0.22670493536815137,0.001108939724142301,22.5933089358479,22.5872521804797,0.22849995580632432,0.0011126069051607666
447,448,23.79,23.325,160,175.740005493164,JNJ,2022-06-23,2023-01-20,0.023001,22.921,0.837301587301587,0.0488850349206349,21.691827276206283,0.11638771290315597,0.1715421233277736,0.0010604463028239838,23.7899999999986,23.7927500951739,0.185150769197489,0.0010238186400763347
8778,8779,23.437,23.997,160,175.740005493164,JNJ,2022-06-23,2022-11-18,0.023001,22.35,0.587301587301587,0.0456593349206349,20.533517284911056,0.11050354944425042,0.1715421233277736,0.0010604463028239838,23.4369999999982,23.4329121604385,0.185150769197489,0.0010238186400763347
460,461,20.15,22.35,160,175.850006103516,JNJ,2022-07-13,2023-01-20,0.023001,21.941,0.757936507936508,0.0478610031746032,23.750090312376244,0.12668445329415892,0.09063646149547964,0.9999999999988242,21.9901879087298,21.991009782661,0.09853828512475551,0.9999999999999999
8791,8792,22.276,22.696,160,175.850006103516,JNJ,2022-07-13,2022-11-18,0.023001,19.05,0.507936507936508,0.0446353031746032,19.85669791530981,0.10698573679791738,0.09063646149547964,0.9999999999988242,19.769095467172,19.7553163495865,0.09853828512475551,0.9999999999999999
469,470,18.65,22.356,160,172.460006713867,JNJ,2022-07-26,2023-01-20,0.023001,22.185,0.706349206349206,0.0471953825396825,21.41190846659339,0.11703234553211464,0.2104885813016483,0.0047492636002459815,21.9217733516438,21.2742964558325,0.22141001483924005,0.0008930339475274903
8800,8801,23.647,23.287,160,172.460006713867,JNJ,2022-07-26,2022-11-18,0.023001,17.8,0.456349206349206,0.043637919047619,15.254751217673657,0.08475820114894082,0.2104885813016483,0.0047492636002459815,19.3039002626314,20.1500144395976,0.22141001483924005,0.0008930339475274903
471,472,19.95,21.301,160,173.199996948242,JNJ,2022-07-28,2023-01-20,0.023001,21.373,0.698412698412698,0.0470929793650794,19.72784963270786,0.10786928858417565,0.20234277913390622,0.016505734193424063,22.4122543760036,22.4279151056117,0.204494801767259,0.016464919415619745
8802,8803,22.698,22.567,160,173.199996948242,JNJ,2022-07-28,2022-11-18,0.023001,18.64,0.448412698412698,0.0434751952380952,16.157962429023996,0.08919221022000795,0.20234277913390622,0.016505734193424063,19.3034788315831,19.3021780527463,0.204494801767259,0.016464919415619745
