,mu,sigma,nu
0,0.5625665985735084,0.35601332442644446,0.004156399328394319
1,0.9178434073462043,0.307724459022727,0.0027964296193166466
2,0.6884120683564313,0.32378680323208936,0.002626297510907172
3,0.9246655567643358,0.32914422892200496,0.003059133923361913
4,0.2784013521025058,0.32494568455099904,0.002940354353736063
5,0.5642709646722988,0.3572088030784609,0.00310317998348748
6,0.5003794224252195,0.3335616527135834,0.0028146542678541132
7,0.905894718631928,0.31991635078419184,0.003171699861506984
8,0.6667889689272021,0.3451220164565967,0.0028829024949866013
9,0.31909674796926396,0.3337788500282432,0.0028442728544131116
10,0.5572433124371796,0.336965379418609,0.0029261034188823435
11,0.5621614071779237,0.3261459616766679,0.0028182820226577894
12,0.6586645435369481,0.32072756064798513,0.0026640140315420022
13,0.8069918899373756,0.28162334729043503,0.002126551909474348
14,0.9199181650796384,0.3143935197452572,0.0031164318414209366
15,0.8040373876463762,0.3230782225421213,0.0031101376740615004
16,0.5659735587681134,0.325911463926569,0.003368045719691311
17,0.8216608595869934,0.33116923300092066,0.0033651331732991656
18,0.4999737204648645,0.32774234625016707,0.0036380710081539715
19,0.5458281358780871,0.32179971566878135,0.002857748938909766
20,0.5097446069873551,0.35630153080820803,0.004072396863482987
21,0.5618033508402216,0.3128516100719053,0.0027351131189495234
22,0.3669702797785066,0.3033860805250924,0.0032025133717840334
23,0.6785913764886438,0.37776505928406984,0.003723913745373246
24,0.47570315635737775,0.3175710163150035,0.0028934056679642078
25,0.7397741228904977,0.3358504085953952,0.0029913361216885753
26,0.8974686620691242,0.3213306677071335,0.0022200243971966446
27,0.8241145127879215,0.3064815532506824,0.0026564467586635034
28,0.9999950534548921,0.34004140643084685,0.0031953099263622503
29,0.6857495864937043,0.3337932954931887,0.0029174593467741336
30,0.7789446291725508,0.3259979618545133,0.002823347176262785
31,0.877471837951693,0.344942655554823,0.0027249930921426327
32,0.5541908526737849,0.3277812595827658,0.003531626513207039
33,0.27820313184443474,0.3243399684483186,0.0027103846035246497
34,0.5758563063195948,0.350745126039877,0.0036100830277639375
35,0.7526884466855832,0.3615161967261192,0.002711726810639215
36,0.818224941517477,0.3206273852209523,0.0031079683119648273
37,0.8383316097066313,0.34280815363875883,0.003719211933667257
38,0.5798338816029472,0.35554131890996865,0.0038030218750719504
39,0.6409702281481098,0.32287005830612014,0.00325991864749232
40,0.5445025717838508,0.35645575016238573,0.0033253587850301555
41,0.5517795315461034,0.33978283551925476,0.0032539705343299793
42,0.7480929116342604,0.34858039583976214,0.003152412163523007
43,0.869014650889999,0.31615410995928844,0.002860405383669002
44,0.514826149167683,0.3316133831589478,0.0027396959145603644
45,0.5671120015738433,0.3409797800534234,0.003904234954220215
46,0.8371031311161624,0.34627898044878114,0.003119920671311646
47,0.6557674343186238,0.3202658190046728,0.0025517424734712774
48,0.9395252748622388,0.31253561370989913,0.0035000369508937897
49,0.4834193456265456,0.3410036158043149,0.0030219833798043735
50,0.618126552655306,0.30068731498850143,0.0026745764394601533
51,0.5661215274795764,0.33109014801077796,0.003509651616393071
52,0.6933853406993007,0.3559278421634596,0.0033641639283134065
53,0.7384623758159734,0.3197634400817603,0.0029380354124142246
54,0.48969119578254533,0.37581133278353485,0.005019481532734441
55,0.9069749785857634,0.3215724975861019,0.0026610032119907825
56,0.9999947144030319,0.3240304866111482,0.0030490550891078606
57,0.624433067761788,0.3209877281629666,0.0028001271145619705
58,0.9999955067136915,0.3522947373142377,0.0028232209261295368
59,0.7045999861230222,0.3060736552962817,0.002556723534265644
60,0.37786056613991537,0.3373785688855141,0.002636277673267169
61,0.8197715889753469,0.325415441714715,0.0029207927233803823
62,0.522175287053665,0.38962680346608747,0.0031352695491769496
63,0.5551728466012205,0.2962512147628679,0.0026637434891793785
64,0.5426890642448403,0.37481922975078125,0.004142394429281467
65,0.9694777616363082,0.30943257278859493,0.00290213625356802
66,0.9999945836648951,0.3060844746847704,0.0029345074498118083
67,0.6323937427800699,0.3384095712518868,0.0026173960410901683
68,0.8762708284590001,0.3007331593681087,0.0025148619333976584
69,0.6337612336565329,0.2997164508641798,0.003490764169857916
70,0.3707988326130003,0.31556835477718764,0.0022591392932532
71,0.6798717444707055,0.36894692565718507,0.00356097459488296
72,0.5599442791106194,0.3192745076054942,0.003162694681279192
73,0.9999942226973207,0.33442324215182956,0.0029675939109124415
74,0.7792244935179768,0.3268546707501677,0.0029948714605772396
75,0.9999947203426192,0.32907999418343503,0.0034795175174731703
76,0.34155634190259043,0.33789746233879786,0.002414717797374169
77,0.5274180400838111,0.36761987099781107,0.003358129631708335
78,0.5011609908913417,0.33134346790255215,0.003303336723496886
79,0.5044262020962925,0.345477723957289,0.0034248429523219067
80,0.5460622909558815,0.3608021636762496,0.0035201374880879273
81,0.6712781113320987,0.34487618022574784,0.003223850961087525
82,0.9934893166891194,0.3374208745165432,0.003258331962991082
83,0.7361860757013553,0.3249921854049784,0.0038796562530935418
84,0.6374524593989921,0.35925357202822683,0.003514872947698029
85,0.5726263887367055,0.3457184516680179,0.003365466538390563
86,0.5720094513936009,0.3439299866595318,0.003568812573242216
87,0.8197165713333655,0.3252451703125253,0.003234142655755182
88,0.566950422495319,0.33358467923254304,0.0037033234841911
89,0.7808177474360296,0.3141689121501272,0.00287854678540732
90,0.8699229052573793,0.32231883176380643,0.0027974598676241283
91,0.6636231660470778,0.335823524569194,0.003596764118334404
92,0.783356968187966,0.3221479410894266,0.003039722625150959
93,0.48920904830490447,0.326749977729234,0.002989998834067261
94,0.7066234126500816,0.31262818117371005,0.002708237841927365
95,0.7802763724907346,0.3124409174131859,0.0027160610077461506
96,0.8198911804539832,0.3257767728614758,0.0040368168154507065
97,0.5539857716093529,0.3000334375684019,0.0030213728064894065
98,0.4984810253070745,0.35229712407273117,0.0038623940577072104
99,0.5264149314694461,0.36488283115472503,0.0036566320178604327
100,0.5241845660850704,0.32170003811396247,0.0029001397647965567
101,0.9932461132235456,0.3366975151660288,0.0034056120507091462
102,0.5637463022538809,0.3309659901084751,0.0032066623297751676
103,0.6466625769345635,0.3400445969362607,0.0030531491638550274
104,0.9999955203413585,0.3173755027402925,0.0027953138125883983
105,0.48491988877371967,0.3133525209696842,0.003274915322915888
106,0.7135713109225594,0.33409790853710114,0.0031630394206797145
107,0.5421798994594009,0.3498829677619487,0.0032087660991894614
108,0.8665090767251784,0.30812895432381504,0.0030446456276994782
109,0.5325324298539309,0.2964544405066127,0.0023940303672787813
110,0.9975458047226987,0.3492308689504374,0.00358169676150389
111,0.4240324050268503,0.33670542499201,0.0024453077017930888
112,0.569827267108017,0.34209956132237135,0.003445831752272147
113,0.8127275300218515,0.3030020340783806,0.002759807275034274
114,0.9999959801362373,0.3594425339651628,0.0034733663093060164
115,0.6472793082881441,0.3418281667564686,0.00255576461320201
116,0.9513639965792433,0.348354311339737,0.0036091073609771734
117,0.682505137051077,0.3239266197139524,0.0032146162581542857
118,0.7832002476775775,0.32166282421055503,0.002903993354671282
119,0.5714198898789588,0.34220977096006927,0.003894426400559596
120,0.6682970320108033,0.3494621918972023,0.0034095863854969872
121,0.8728105003613703,0.33115525853024064,0.0035372290775896533
122,0.875750176226181,0.33117567655326513,0.003208196911774165
123,0.6509212942619294,0.35233996352183095,0.003882295261312963
124,0.8341702118038257,0.3376977569823096,0.0029046463750776784
125,0.9999947344271558,0.3427990929422865,0.003467956386022302
126,0.5530586745587937,0.3435270443589035,0.0032262659494982407
127,0.7753405085998001,0.32668706853426077,0.0023551683484956953
128,0.5681448883105553,0.3280287824185577,0.0033293892936843185
129,0.868918563793995,0.3191874239868811,0.0029174593467741336
130,0.5720266161669665,0.3484682887608309,0.003458015229693489
131,0.576359288336528,0.3606857525230487,0.003175478314061608
132,0.5356382162928186,0.3306593192281041,0.0029333094842174555
133,0.6669918354669117,0.33221573787951675,0.0027283785789105146
134,0.5233065366667303,0.31896042254177764,0.0030862859746036138
135,0.7410751785581687,0.3397007162805716,0.0031543809114031006
136,0.5217086807594092,0.313911145009694,0.0028212520927368614
137,0.3311553269302052,0.33176571312663117,0.00308697321277114
138,0.554482629574825,0.33254275276687745,0.0032593927792240796
139,0.8711212760158332,0.32274604136839563,0.0030262253959862204
140,0.5560045157518431,0.3332691361016701,0.0034695014253304313
141,0.8752457623675413,0.32698516393008925,0.0025015112385816858
142,0.9091603248310247,0.32996868191708595,0.0032599883765625707
143,0.6266175197825499,0.32771739385577914,0.003390126607121552
144,0.8089727075378231,0.33801082479318856,0.00289464510983554
145,0.9999950488849638,0.3198786685123829,0.003014366073991291
146,0.5094767929625521,0.31506997478816057,0.0031467809027134236
147,0.9082164811264964,0.3270932400904969,0.0037750455285079434
148,0.556537302154712,0.3084194075332049,0.0036208564389893817
149,0.9886755791121292,0.32293375483195563,0.002567152072143733
150,0.9999956595943794,0.32965201340574635,0.0034214285510047056
151,0.5755577800243235,0.3433044065913986,0.004063750571092606
152,0.47998515979544815,0.3490499340394803,0.002926370459308256
153,0.5058020218865112,0.3740856296437906,0.004270390079944323
154,0.07876463953890292,0.32104801656104787,0.0030985838250191444
155,0.9999960889031124,0.3309283023872461,0.003428497590837723
156,0.6326141149552187,0.34552820549030705,0.003430739608410688
157,0.7345320536520762,0.3241750503247768,0.0026388748625804995
158,0.8756586346004757,0.33651317229297,0.002719582249455188
159,0.2175635020571409,0.3136648610894924,0.0028765383455846226
