,mu,sigma,nu
0,0.5843993170499844,0.3681599422724497,0.0029401230112048767
1,0.9999955761195941,0.34137381599320576,0.003134289576637173
2,0.24288466377665183,0.3752023957720542,0.003132409020895777
3,0.7489659941973286,0.3510759318097565,0.00271651086952511
4,0.6180412202169046,0.33132248389867247,0.002435062696800054
5,0.9999940465496419,0.3270651044572164,0.0033654490897326735
6,0.67427373254155,0.3661599045395245,0.003614660157798705
7,0.3746626895153222,0.3277679493768187,0.002804732131360462
8,0.6253749497563932,0.3239044392820869,0.003822102053564018
9,0.5082278263279905,0.3520206124780998,0.003495123870540092
10,0.820915067961934,0.3289100512813132,0.0028482238507227414
11,0.9483668462623505,0.33964558856308014,0.0032753818985230766
12,0.6830639371768128,0.335045609576098,0.0024108725575656418
13,0.578151559181553,0.3613399344081899,0.003988914517886316
14,0.838406251565132,0.35001860078819647,0.003496052115783771
15,0.6746634126167126,0.29871726960200196,0.0024671103325126366
16,0.9785920424652961,0.3411083187143911,0.003517597693975114
17,0.5362960342398408,0.3637985030658345,0.004005811572435796
18,0.999994424772702,0.3468383154975395,0.003194640346689607
19,0.562755085623545,0.3529392833706252,0.003081570905640357
20,0.8581910985336582,0.34315135441076683,0.0032425947945454643
21,0.6261012107802325,0.31927080657868856,0.002499020851518844
22,0.9153098716466785,0.35088753118643706,0.002677201246504094
23,0.9770135755367881,0.33644708340643886,0.003842412504020331
24,0.4915154671961012,0.33194598581461887,0.00295795325436705
25,0.5662806618805929,0.33157068722638894,0.0037111589637954124
26,0.980296474871466,0.3460688181632624,0.0030536350980895285
27,0.8500516354413227,0.3185567569051263,0.00304228298268767
28,0.9999933149679135,0.3218573001580121,0.0028237928844649456
29,0.6880248888733389,0.39041420511647545,0.0036749034174482858
30,0.9999964083499983,0.3357475016313441,0.003760314469806869
31,0.5335919591119231,0.34971752597436506,0.0031595199719316584
32,0.5046870163571471,0.36949443252613184,0.0029867243837339596
33,0.3269090372528795,0.3187149334991081,0.0030156466939373944
34,0.9985689957979399,0.35214404061893356,0.00401030324854416
35,0.6760544994291812,0.35845814207971277,0.0027486712647253695
36,0.5635936376905702,0.3553047599351668,0.0037668145464991726
37,0.4260253038221859,0.3266622207152361,0.0024613296414279615
38,0.9121290408964732,0.33038543925587693,0.0022605458577667583
39,0.9999959801362373,0.3200280108792482,0.0025226100063410247
40,0.2327720439391022,0.3588824377748431,0.0030323433571622996
41,0.5527006952898891,0.3232304671577738,0.0025142615926656733
42,0.6653956076575386,0.34106240727169573,0.0031249759933680015
43,0.8253157464249802,0.31038440938425005,0.0030339299627597112
44,0.6509549104879118,0.35243332869189653,0.004012771641276693
45,0.32953785946978853,0.3268618231439937,0.0025764529233388337
46,0.606035260755393,0.31756311379668145,0.002212460913922412
47,0.6710114845770455,0.34584990675362104,0.002623848719179939
48,0.5133914002115322,0.3272584094367303,0.002577377635674834
49,0.9999959801362373,0.3449378815494234,0.0030973782088968664
50,0.5847198963576011,0.3790787775115606,0.0035692406105162226
51,0.8838604596544242,0.36005537510569635,0.003102504725228542
52,0.4038735827286392,0.33697049760462344,0.0022240519768640978
53,0.8328132703482514,0.3336650116512271,0.0027401859181875095
54,0.594137781481547,0.34852852374483356,0.0024339933932083636
55,0.999996318934866,0.34400309731654444,0.0034830223336038586
56,0.6739989975440976,0.3654124514995254,0.003275188657145955
57,0.9999952168012641,0.34193145984444545,0.003563921125363277
