,mu,sigma,nu
0,0.8774557183425478,0.3362862258301492,0.003183764903283226
1,0.7688591858737084,0.331705837652211,0.002448450383551791
2,0.5660369563203307,0.3375267790383154,0.002619364046652212
3,0.8315476021717491,0.36154681429033814,0.002864567234394405
4,0.8357817603360249,0.37135907856093603,0.0035685995876827553
5,0.8214096829872931,0.33041004218448805,0.0032012751956987146
6,0.5230606899761954,0.3477220592583377,0.0028562206543186045
7,0.9129225524083109,0.34401384955783365,0.0036545396596565564
8,0.8232430897350416,0.3378007825806452,0.0034113541847974344
9,0.6906803046900464,0.3130524237870554,0.0021082807467396564
10,0.6733982034745579,0.33157643395573766,0.002343484974136319
11,0.5736813430064321,0.32879972418665093,0.002533077730566346
12,0.9999937081289062,0.3311418544277048,0.0024973468895044047
13,0.9163597571988257,0.35386022185533517,0.0034457633666145197
14,0.6882845618602907,0.3388149201976389,0.002648332186735723
15,0.9003691234374911,0.3053575004061572,0.002783123368093037
16,0.9999959801362373,0.33021358874756046,0.003118083979927743
17,0.5126822510368856,0.3250834339108269,0.002829201143049468
18,0.7682524263329665,0.32308787940446754,0.0023003842353286025
19,0.9443351239053146,0.3055374008318596,0.0019343995265373593
20,0.7968343060939991,0.3232635358119038,0.002320323818772333
21,0.767410307011215,0.3218839190004662,0.0026287295338250946
22,0.8259746505978359,0.343947005154899,0.002826666278574406
23,0.6570005646131085,0.3154947051762581,0.0027588591940987104
24,0.9999941559696673,0.33818170763444494,0.003001998070272416
25,0.9301457022950069,0.32443371578149205,0.0019909080870136467
26,0.8664960181010791,0.33739332457418186,0.0034708911000143183
27,0.9911034357853515,0.3045211917762306,0.002585416496932868
28,0.7203080622057292,0.338907423894908,0.0025585134452397454
29,0.9991890187405691,0.3301956385519649,0.0029637231666397325
30,0.7090328783145975,0.33544219016522137,0.0027406480202807953
31,0.9999959801362373,0.33426556121459944,0.0027762359397325415
32,0.7736259996030853,0.34064145276818686,0.0031195882108086543
33,0.9999959801362373,0.3273599161329304,0.002515686871782178
34,0.5307061901554727,0.3413671708045257,0.0029334237978730165
35,0.9999959801362373,0.3472153893504301,0.0034801972058150603
36,0.9999954561060652,0.33017262957208454,0.0030860695078226224
37,0.9999959801362373,0.3375785125599136,0.0031346237684716153
38,0.6492486788237348,0.32297611531785914,0.002311263142977808
39,0.7162618878798191,0.3292586027297514,0.002441035079837006
40,0.9999935095671242,0.3403352393378599,0.0032331340533397162
41,0.9999962186305764,0.36795311953585214,0.003320783551841187
42,0.8736494890461024,0.34414440333775415,0.002433900781180358
43,0.7335464128371157,0.3217730446621934,0.002614078194840082
44,0.3833018221337725,0.3531445260831078,0.002737548205385546
45,0.9999959801362373,0.34878228032615055,0.002206640219680711
46,0.9201541032689142,0.3617458123298322,0.003513115685108684
47,0.49822455783744785,0.35157377090024555,0.002947735004405316
48,0.7941965311684797,0.32844618815805987,0.002083695738927632
49,0.9999959801362373,0.3238351698094104,0.0025053167208080214
50,0.7093928593946518,0.3364986539459555,0.0027485425796768604
51,0.8300470819966574,0.3555871340588028,0.0033448661518251845
52,0.5338856292849024,0.31774595321575005,0.0024205629689075785
53,0.9999954213115243,0.33750006275320094,0.0027712095178833106
54,0.5304210652378615,0.3405296789766328,0.003143575819042845
55,0.6287920829456819,0.3342875409351631,0.003222390934249599
56,0.9999952132392887,0.35153235451395953,0.003256210307326736
57,0.16434086229993541,0.3078075729646744,0.0016973659443379149
58,0.8473544526370294,0.3095428048368078,0.002088787953517499
59,0.6221357939154019,0.31374706154168713,0.0027191766538888947
60,0.8162109741387344,0.3651455507244533,0.0023168380836266866
61,0.8661053990293515,0.3237802498759184,0.0025240899340236538
62,0.9999935939040145,0.35067377807159,0.0031792155442012895
63,0.8192887114738148,0.32588420718663363,0.00263600986796837
