,mu,sigma,nu
0,0.9999936710437753,0.3343221079933256,0.002842246784855504
1,0.5653593142787774,0.33582904713559214,0.00235912771585913
2,0.34123038520708376,0.3411801899641996,0.003379807109422337
3,0.9549900979306084,0.35860937973307677,0.00403045132512684
4,0.9999959801362373,0.32171856074272254,0.003099594471666001
5,0.5817488781857544,0.3753231229105061,0.0037507610050698296
6,0.6315582186971327,0.3359287487991275,0.003023404857950788
7,0.5404789754211414,0.3449847870172819,0.0037733301904549358
8,0.6630141096625786,0.3340096166350255,0.003010692433465512
9,0.5722073025233194,0.324799772578248,0.001702378503740646
10,0.8498661174635578,0.3749415874858776,0.003437371079302698
11,0.7385825528712657,0.3322708841436083,0.002849885409699397
12,0.49695517439148307,0.3479422304190113,0.003475995011601886
13,0.6740580880968241,0.3528447397620783,0.002751422645167911
14,0.48289918620051964,0.3068305785821039,0.0026768984406652027
15,0.8842252819262387,0.36106365255645045,0.0036300318307988543
16,0.5525250717160332,0.3419789286446752,0.002750059859289488
17,0.5720395143278454,0.34401858493254645,0.003244652197887196
18,0.9963854216559417,0.3179260923883851,0.0031256053588693345
19,0.8189366216677502,0.3228393057054515,0.00296130466681744
20,0.8254744682380704,0.34248899038989816,0.003501782104768538
21,0.8765352817500487,0.3422160042758975,0.0026895288826172346
22,0.732697053818376,0.3140796342859957,0.0027854799369510064
23,0.5325797528989968,0.3468086587470827,0.003383541680337397
24,0.9076188095994773,0.3282414224131282,0.0027749966274366045
25,0.544655818223907,0.3568846784216494,0.0031451792914421618
26,0.5599635661486607,0.36306663035234454,0.0037909124718604483
27,0.9800680951685065,0.34194153151948065,0.0028240468943274547
28,0.6288608209322226,0.33448998202439906,0.0034867770511142608
29,0.5038683750475628,0.3394155036603146,0.003080121181321175
30,0.5029472104699978,0.3366960553128195,0.0027300375825476163
31,0.5084836285133308,0.357026284185373,0.003575955797717876
32,0.49713263283752185,0.3189565871911783,0.0036845688215103017
33,0.5250949804857395,0.36124422475379786,0.0037941107988387172
34,0.7182496496813586,0.34781629696966027,0.0032692780239972786
35,0.9999959801362373,0.32700198944523146,0.0023191297698328087
36,0.6486048309879561,0.34571702386042796,0.002778523142187779
37,0.9983038995470728,0.32390306943802605,0.003157888457716016
38,0.3633127795644079,0.32063201071921327,0.0032139441783980605
39,0.8306660517336479,0.33563057138516433,0.002532336837622372
40,0.7850739050510763,0.34428252028877626,0.0029679489445438097
41,0.873638609422764,0.3304549251472147,0.002972364115524799
42,0.9325254756569086,0.3522085799413899,0.0032270768738513226
43,0.5002877056288698,0.3332886541199299,0.0032838422051133893
44,0.3117618510012155,0.3110334008738685,0.003101970312870562
45,0.6418783158526001,0.3653543961046274,0.0032448385152757725
46,0.68577910746813,0.30170382835385684,0.0024758845078375518
47,0.6340069774267529,0.3495369414986662,0.0031643830930951702
48,0.7384120240643783,0.35742359357385617,0.0027343652330989944
49,0.7851759360083859,0.32774577336203753,0.0026773520665681057
50,0.6961395089256642,0.33125501677950775,0.0027345142561651142
51,0.7221674253127526,0.3374179472817427,0.0022758207162204853
52,0.5676217391218983,0.3193611455910926,0.002846157272880731
53,0.8108703088069522,0.3435756472906272,0.0030130687858837546
54,0.885769237928268,0.36531765689874307,0.0032051484394172744
55,0.8788832302373449,0.34900825908192495,0.00318109620616147
56,0.6623437343688691,0.3319951854677346,0.0033894251393995906
57,0.9881857885940188,0.32131699420386267,0.003719785308792561
58,0.7150728322377266,0.3174085721774634,0.0024482391862461666
59,0.3821390808585542,0.35110624325368905,0.0030073482495499276
60,0.5444184337850542,0.3173880952151818,0.0028257542194503743
61,0.5583140982890596,0.34386982205415795,0.00337480985246425
62,0.5699053120630324,0.3377586096046226,0.0032654092453814672
63,0.8311780282218633,0.3287301300294965,0.0027500423828218075
64,0.6637693409361235,0.3223728388212126,0.00316193588168896
65,0.9999960149450039,0.3180930498610429,0.002538428475241678
66,0.47474758018418417,0.3337094119047417,0.002652941748388608
67,0.5464302966991489,0.3073813644636668,0.0027814092108795676
68,0.9999959801362373,0.3210901753809704,0.0028855080951013003
69,0.5459199603922964,0.3220850547800006,0.0029174593467741336
70,0.5761539828384654,0.35577372632567467,0.0033246941451506285
71,0.5615515175314526,0.31699256732942066,0.0031266426924813676
72,0.5467583745953556,0.3246747415929665,0.002788454867374372
73,0.666888758546836,0.33190778167360735,0.002900017345124859
74,0.6376734747801684,0.3124955614746339,0.003158073035998505
75,0.8679181121573489,0.31604224913020185,0.0029762098944614477
76,0.564145810360728,0.32507119204589996,0.0035297368618004534
77,0.6650359061430171,0.3262770490272674,0.002940132590106266
78,0.5619290313849843,0.31817999018432,0.0030570446102453257
79,0.6634244367108355,0.33523633110288603,0.002762169979622998
80,0.9999959801362373,0.30203549192771745,0.0031434266569749496
81,0.5663934036169482,0.3271969454845657,0.002942213843446282
82,0.9899762708234586,0.3268420380665296,0.0034951957037002842
83,0.8406694492198865,0.3564280357850286,0.0029757312626844216
84,0.7473191525654687,0.35760727054910113,0.0029892990363165053
85,0.6394847700763711,0.31824559492943294,0.002623679260639214
86,0.6478191314604823,0.3434277964445914,0.0029174593467741336
87,0.8241483511853946,0.3385942851251891,0.0030761392793400596
88,0.8067771736568577,0.33145410562956296,0.0028618660268175007
89,0.9180902125474402,0.3560008062844794,0.0031486970128379835
90,0.8824583759629853,0.3076230734466998,0.0020783102870307346
91,0.5259222061263631,0.3270524026672315,0.003995771932319243
92,0.5571180757906763,0.33659386038133765,0.0028620170948070655
93,0.8349427167642431,0.2942128214977352,0.002176771537829445
94,0.551510575937268,0.2965962222630158,0.0024878940860753925
95,0.864604045490642,0.3208603472646255,0.0023057450379800775
