,mu,sigma,nu
0,-0.12081291060933896,0.22040905556603504,0.003297713513310135
1,0.045000882711954716,0.20396060925423293,0.0026343240351267318
2,0.04626254510164935,0.21758866905319404,0.0031369788880484624
3,0.030023034643332013,0.24503912288823343,0.0032436363573761567
4,-0.06206358432986275,0.21057800828584156,0.0034534350078854782
5,-0.045332079171603534,0.20391468329011253,0.0021549354443972757
6,0.0769444963281357,0.21968699389561858,0.0029487501711502697
7,-0.05966709290164362,0.22166511763911592,0.003314927377657537
8,-0.27217046270882084,0.20592424998623154,0.003022423039139268
9,0.13062144783855634,0.20933896779006683,0.002291315799343192
10,-0.06269668164527849,0.2075511420029264,0.0031946529087658144
11,-0.05844766543391507,0.19234620471409714,0.002271573036240656
12,0.1556223732443978,0.19639602774064652,0.0020382787341747272
13,-0.023583478387506605,0.19487664555628248,0.002191585050059046
14,0.11064000419815691,0.20695520289406874,0.0023894038338699154
15,0.04975040819516796,0.21745994068975646,0.003187072188067942
16,-0.04129032147812208,0.2284963561046023,0.003251214748668628
17,0.10390370180012591,0.2033230643752797,0.0020993573619699844
18,0.040732138864957454,0.21352388805822822,0.0022684647427950355
19,0.02117814378635332,0.1979661276584907,0.0025646598234076562
20,0.12011553249172625,0.19222521620506894,0.0023120317023431103
21,0.07785765428657446,0.2238138214100059,0.0028996355326505415
22,-0.058251813137052556,0.2361267672986641,0.003694701672212162
23,-0.027336315592827353,0.20626151372944784,0.002418699493996064
24,0.05308433058706274,0.2369007278277016,0.0033398773003638768
25,-0.06267901524735166,0.20764087577752627,0.0034578348828434476
26,-0.062104932725197584,0.21038132433028464,0.0027980430927155085
27,-0.0022780715533020487,0.18095909582545608,0.002138080359063836
28,0.25117007197998087,0.2054062374216055,0.0023884960087105296
29,-0.26025748783036035,0.21134245012540134,0.0031240759405941703
30,0.04606701301839028,0.20515484880679746,0.002620871664458983
31,-0.06402218126508882,0.21027802731649453,0.0031852982661241696
32,-0.15728498093198426,0.23027087364259194,0.0034657733797294706
33,-0.03349520502984275,0.19399235854490035,0.0028840234139610147
34,0.11258632649230882,0.20666535993566565,0.0020900337278352537
35,0.3988915822981738,0.21988472033952192,0.002723234740831223
36,0.1780547465045476,0.21209778712797225,0.0027207532877294525
37,-0.06004317364883376,0.2199691431109881,0.0032380345530662615
38,0.1611271111373605,0.2139440778642645,0.0030404237644210317
39,-0.058677931748728325,0.20784285063194893,0.0034279888778993755
40,0.04746203405265736,0.1962312517469533,0.0025198058065167513
