,call,put,strike,Share,symbol,trade date,exercise date,LIBOR Rate,volatility,t,d,t_round,call_min,call_mean,call_max,vol_min,vol_mean,vol_max
0,36.808,10.95,130,130.05999755859375,AAPL,2022-06-17,2022-11-18,0.023001,0.138,0.6111111111111112,-23.98348324220987,0.0,27.880801633001255,30.25450137588701,34.01083285176861,0.23241924869358063,0.312228753663977,0.42032805454914324
1,24.2,29.78,130,139.13999938964844,AAPL,2021-10-05,2023-01-20,0.032972,0.29623,1.873015873015873,22.505539298237238,1.0,16.70270979368169,20.76819604887189,25.063853937144742,0.3014220367412401,0.3661637391417369,0.4351769326750427
2,16.72,33.669,130,116.36000061035156,AAPL,2021-03-08,2023-01-20,0.032972,0.34182,2.7103174603174605,14.422428482593602,2.0,13.543946267426278,16.939940337233114,21.40650865072859,0.2943383584500388,0.34541262794637206,0.41266928844884937
3,18.0,37.593,130,107.12000274658205,AAPL,2020-09-24,2023-01-20,0.032972,0.38858,3.365079365079365,10.365543351186176,3.0,11.457629483969392,14.486597494318,17.882512200041816,0.25811243325475214,0.3014074015735646,0.34968736745108725
4,11.0,35.568,135,130.05999755859375,AAPL,2022-06-17,2022-11-18,0.023001,0.35733,0.6111111111111112,21.512305957759224,0.0,1.2067226488615326,3.2463803612504463,5.569671777218115,0.22234983945368716,0.31179661117797297,0.395539356469499
5,21.45,29.324,135,139.13999938964844,AAPL,2021-10-05,2023-01-20,0.032972,0.29156,1.873015873015873,20.098983140875276,1.0,16.03216764601204,20.41648807506802,25.01484148724377,0.29806497275017374,0.36619288144533846,0.43821005413077546
6,15.5,33.704,135,116.36000061035156,AAPL,2021-03-08,2023-01-20,0.032972,0.34275,2.7103174603174605,11.104868016141381,2.0,13.28389413101602,17.28574167703355,20.8606914587263,0.2870231980394317,0.345362572014748,0.39743761819607837
7,17.2,37.433,135,107.12000274658205,AAPL,2020-09-24,2023-01-20,0.032972,0.39136000000000004,3.365079365079365,6.530641066747876,3.0,11.506744283169457,15.095068131825231,18.46941170277416,0.2520011340801757,0.3013710291354304,0.3475142270065857
8,8.8,16.15,140,130.05999755859375,AAPL,2022-06-17,2022-11-18,0.023001,0.3472,0.6111111111111112,-0.6359048422716853,0.0,6.516643945581457,9.640084459782981,12.867229217073415,0.23472852662168175,0.31273113565915706,0.3925882223693483
9,18.8,17.3,140,139.13999938964844,AAPL,2021-10-05,2023-01-20,0.032972,0.28803999999999996,1.873015873015873,6.024426983513308,1.0,21.81583258118424,26.77043635335813,31.764004590951153,0.2956594693149397,0.366430602444677,0.4385523431658548
10,13.9,36.28,140,116.36000061035156,AAPL,2021-03-08,2023-01-20,0.032972,0.34432,2.7103174603174605,10.708307549689152,2.0,12.404168827866933,16.223104901721698,20.670051807417998,0.2897046320949554,0.3454358418431943,0.40994626840778775
11,14.05,45.0,140,108.7699966430664,AAPL,2020-11-02,2023-01-20,0.032972,0.36584000000000005,3.2103174603174605,13.781730541928084,3.0,8.150024966029871,11.288402133655703,14.3467903340851,0.2581427213143105,0.3069444785164657,0.3531510837525524
12,7.03,18.69,145,130.05999755859375,AAPL,2022-06-17,2022-11-18,0.023001,0.33838999999999997,0.6111111111111112,-1.256115642302575,0.0,4.361576057345076,8.223387254523622,11.715204972393792,0.21263121551589623,0.31255524810116864,0.3997233490907795
13,16.65,28.598,145,139.13999938964844,AAPL,2021-10-05,2023-01-20,0.032972,0.28521,1.873015873015873,14.771870826151343,1.0,15.42868890240134,20.0808143184012,24.523069268955197,0.2975748311491768,0.3665457496485599,0.4326926574056451
14,12.85,33.729,145,116.36000061035156,AAPL,2021-03-08,2023-01-20,0.032972,0.34391,2.7103174603174605,4.634747083236903,2.0,13.886173033695115,17.901925538945267,21.784592631260118,0.29004317867689633,0.3452585113436153,0.39851694071981986
15,14.05,37.453,145,107.12000274658205,AAPL,2020-09-24,2023-01-20,0.032972,0.39137,3.365079365079365,0.750836497871262,3.0,11.830395047428318,15.456249028064224,19.69760966703234,0.2543991677628623,0.3017356264936614,0.35662004845711626
16,5.4,23.65,150,130.05999755859375,AAPL,2022-06-17,2022-11-18,0.023001,0.33125,0.6111111111111112,0.40367355766650803,0.0,3.555887063234618,6.204121528245815,9.491145383420928,0.23752026567681983,0.31254123749173673,0.39950605552481944
17,14.5,22.8,150,139.13999938964844,AAPL,2021-10-05,2023-01-20,0.032972,0.28314,1.873015873015873,6.423314668789374,1.0,18.095644223371742,22.978531606076995,28.421293677457676,0.29874932021331185,0.3668553704260933,0.44342444743205084
18,11.55,43.6,150,116.36000061035156,AAPL,2021-03-08,2023-01-20,0.032972,0.34570999999999996,2.7103174603174605,11.233186616784678,2.0,9.509216033941062,13.738610290395144,17.351207727133126,0.2814806072507299,0.3453326337435079,0.39852449553169633
19,13.33,53.0,150,107.12000274658205,AAPL,2020-09-24,2023-01-20,0.032972,0.38835000000000003,3.365079365079365,12.542934213432943,3.0,6.820668587695703,9.615286748943978,13.07381558470459,0.25700324149937626,0.30161743708395705,0.3541866880385399
