,Unnamed: 0,call,put,strike,Share,symbol,trade date,exercise date,LIBOR Rate,volatility,t,d,t_round,call_min,call_mean,call_max,vol_min,vol_mean,vol_max,new_libor,vg_implied_sigma,vg_implied_nu,vg_predicted_call,vg_call_min,vg_cal_mean,vg_call_max,vg_hist_sigma,vg_hist_nu
0,0,36.808,10.95,130,130.05999755859375,AAPL,2022-06-17,2022-11-18,0.023001,0.138,0.6111111111111112,-23.98348324220987,0.0,27.88080163300125,30.25450137588701,34.01083285176861,0.2324192486935806,0.312228753663977,0.4203280545491432,0.0459665444444444,0.4753783361176101,0.16761924828763577,36.8079999999998,30.6610281038798,32.3922038780152,34.0994191545681,0.34250394003010237,0.0025660843746871764
1,1,24.2,29.78,130,139.13999938964844,AAPL,2021-10-05,2023-01-20,0.032972,0.29623,1.873015873015873,22.50553929823724,1.0,16.70270979368169,20.76819604887189,25.063853937144746,0.3014220367412401,0.3661637391417369,0.4351769326750427,0.0470083238095238,0.4010069854483688,0.13310955878925143,24.2,16.9525091582905,19.625337262536,23.0532402126246,0.34194324829277023,0.0028191566218096044
2,2,16.72,33.669,130,116.36000061035156,AAPL,2021-03-08,2023-01-20,0.032972,0.34182,2.7103174603174605,14.422428482593602,2.0,13.543946267426278,16.939940337233114,21.40650865072859,0.2943383584500388,0.345412627946372,0.4126692884488493,0.0450377777777778,0.3228544445441394,0.15047679010130255,16.7199999999958,14.3717327721124,17.6509083683415,20.5329585749468,0.34184782955662646,0.0029886506076363777
3,3,18.0,37.593,130,107.12000274658205,AAPL,2020-09-24,2023-01-20,0.032972,0.38858,3.365079365079365,10.365543351186176,3.0,11.457629483969392,14.486597494318,17.882512200041816,0.2581124332547521,0.3014074015735646,0.3496873674510872,0.0438420634920635,0.33196842364955836,0.293622293588971,17.9999999999994,14.9987925979095,17.7033837914965,21.349335509234,0.32744784694993523,0.0032772000152397097
4,4,11.0,35.568,135,130.05999755859375,AAPL,2022-06-17,2022-11-18,0.023001,0.35733,0.6111111111111112,21.512305957759224,0.0,1.2067226488615326,3.2463803612504463,5.569671777218115,0.2223498394536871,0.3117966111779729,0.395539356469499,0.0459665444444444,0.5479651130564128,0.4661562810899802,10.9999999966931,3.42348970996944,4.50902130267573,5.51862653033657,0.34250394003010237,0.0025660843746871764
5,5,21.45,29.324,135,139.13999938964844,AAPL,2021-10-05,2023-01-20,0.032972,0.29156,1.873015873015873,20.09898314087528,1.0,16.03216764601204,20.41648807506802,25.01484148724377,0.2980649727501737,0.3661928814453384,0.4382100541307754,0.0470083238095238,0.3626235640920454,0.14163920797954538,21.45,16.5639417446117,19.2758048504116,22.7182945155141,0.34194324829277023,0.0028191566218096044
6,6,15.5,33.704,135,116.36000061035156,AAPL,2021-03-08,2023-01-20,0.032972,0.34275,2.7103174603174605,11.10486801614138,2.0,13.28389413101602,17.28574167703355,20.8606914587263,0.2870231980394317,0.345362572014748,0.3974376181960783,0.0450377777777778,0.3004453563372806,0.15545658748060387,15.5,14.6511169746583,18.0378454812702,21.0202167780665,0.34184782955662646,0.0029886506076363777
7,7,17.2,37.433,135,107.12000274658205,AAPL,2020-09-24,2023-01-20,0.032972,0.39136,3.365079365079365,6.530641066747876,3.0,11.506744283169455,15.095068131825233,18.46941170277416,0.2520011340801757,0.3013710291354304,0.3475142270065857,0.0438420634920635,0.31112852056904994,0.30801592722727617,17.2,15.6314825866433,18.4404508648051,22.2286866092303,0.32744784694993523,0.0032772000152397097
8,8,8.8,16.15,140,130.05999755859375,AAPL,2022-06-17,2022-11-18,0.023001,0.3472,0.6111111111111112,-0.6359048422716853,0.0,6.516643945581457,9.64008445978298,12.867229217073415,0.2347285266216817,0.312731135659157,0.3925882223693483,0.0459665444444444,0.27930508668722837,0.16015442518061582,8.79999999999929,10.3652149913221,11.8890930291509,13.3126678605779,0.34250394003010237,0.0025660843746871764
9,9,18.8,17.3,140,139.13999938964844,AAPL,2021-10-05,2023-01-20,0.032972,0.2880399999999999,1.873015873015873,6.024426983513308,1.0,21.81583258118424,26.77043635335813,31.764004590951156,0.2956594693149397,0.366430602444677,0.4385523431658548,0.0470083238095238,0.23070067445096765,0.17095540567756282,18.7999999999995,22.2627384427611,25.3686116767352,29.4998752325835,0.34194324829277023,0.0028191566218096044
10,10,13.9,36.28,140,116.36000061035156,AAPL,2021-03-08,2023-01-20,0.032972,0.34432,2.7103174603174605,10.708307549689152,2.0,12.404168827866933,16.223104901721698,20.670051807418,0.2897046320949554,0.3454358418431943,0.4099462684077877,0.0450377777777778,0.2935462870640047,0.3326400555347697,13.900000000039,13.6473912353604,17.0459062369227,20.0724918587246,0.34184782955662646,0.0029886506076363777
11,11,14.05,45.0,140,108.7699966430664,AAPL,2020-11-02,2023-01-20,0.032972,0.36584,3.2103174603174605,13.781730541928084,3.0,8.150024966029871,11.288402133655705,14.3467903340851,0.2581427213143105,0.3069444785164657,0.3531510837525524,0.044108253968254,0.33025325109622256,0.1998888258394212,14.05,11.5346111394651,14.2794679595999,17.8689304939723,0.3317250662156872,0.003179231143716446
12,12,7.03,18.69,145,130.05999755859375,AAPL,2022-06-17,2022-11-18,0.023001,0.3383899999999999,0.6111111111111112,-1.256115642302575,0.0,4.361576057345076,8.223387254523622,11.715204972393792,0.2126312155158962,0.3125552481011686,0.3997233490907795,0.0459665444444444,0.27549994205536965,0.3524122352498728,7.03000000000014,8.80347222326766,10.3556411837866,11.7786079668999,0.34250394003010237,0.0025660843746871764
