,mu,sigma,nu
0,0.6807516912300966,0.3184698448252936,0.0027612784141460966
1,0.6745820536861241,0.3670010146217069,0.003502626245001904
2,0.5053782416547195,0.34822335487895556,0.0034122840816488594
3,0.9999942240651531,0.2722269286134132,0.002988243697354112
4,0.5020926925890068,0.33414366874567514,0.0035234056934221785
5,0.3108111159942905,0.30795996450736407,0.0028702387736103084
6,0.9054746378078359,0.3632689936496739,0.002654737705205267
7,0.8026853374540993,0.3188682993816759,0.0027948753318514786
8,0.9843362948896109,0.35420367161517735,0.0031217376116668524
9,0.5514587115602381,0.3233232485734574,0.0030998872923412215
10,0.9999953939496901,0.35540285284527623,0.002851573681785759
11,0.9081988515867693,0.3270417076150451,0.0032325172137288435
12,0.5297381956151234,0.3385193330272789,0.0035635664134289788
13,0.5775527284636681,0.3596816301564895,0.0031861681466773574
14,0.6462776313395133,0.3389113566903154,0.002828888507225294
15,0.8330992064331476,0.31415690862732976,0.0026062772118836705
16,0.99999433540231,0.33024383468015933,0.0034395370933852478
17,0.5088220849179267,0.35370584949960054,0.0034798616476882332
18,0.2910446524226914,0.29023829479420005,0.0020584722954508504
19,0.6570778732072861,0.30099103977625385,0.0022570373345802675
20,0.4832701556855707,0.3455886062022236,0.0032145284781828986
21,0.49229651090749343,0.33313989026115315,0.0023449555706564207
22,0.9347684851494182,0.35852135486928316,0.0033430089785352842
23,0.5585902208048188,0.3592611246885789,0.003988343182270038
24,0.6223792312745224,0.3144798089353919,0.002548646686628079
25,0.40736817779027973,0.3201351609624657,0.002505435926463309
26,0.8718595885482274,0.32827109157644685,0.0027976504403042744
27,0.5656616516321259,0.3646059690565995,0.0036340375729563175
28,0.8106107892939233,0.3428198071289633,0.0030128686038093017
29,0.8803151299791753,0.35308664449197624,0.003462378316303595
30,0.8775903904198109,0.34220212786013604,0.0030548531529838146
31,0.6076483512205901,0.3322192460333021,0.0024465714621405643
32,0.49135433025623615,0.3003025657532442,0.002492713613720373
33,0.5638444990641164,0.3146525530008448,0.003433045216594543
34,0.18054949632123038,0.3298350620154858,0.0030788787647652266
35,0.7466972278748248,0.3203471304917362,0.002669030741012342
36,0.625797725010427,0.3252078950191091,0.002797506367724664
37,0.5062273571939717,0.34629640408569173,0.0032529780718534647
38,0.5092573052960355,0.3591824591287616,0.004003458413528796
39,0.58033596242597,0.3715416382104353,0.0035067737208001326
40,0.5664351397084224,0.3320450561264325,0.002888290600153058
41,0.9225598515643795,0.322682500588289,0.003385262911969119
42,0.5006876479173998,0.35850227809240237,0.003929903631401756
43,0.8190979475788733,0.3233385010150527,0.0032484960526173875
44,0.7112063925689026,0.3269450464395061,0.0028415664624753603
45,0.6328496048544453,0.339748155990887,0.0031693948838093767
46,0.6664626272957513,0.3306177279809619,0.002795286030923069
47,0.8452816612859964,0.36251080830357274,0.003238348106826108
48,0.6394011471634643,0.36463613933197175,0.0033698097362195637
49,0.47600208965063806,0.32388209455552835,0.002836741705061847
50,0.5726441369685129,0.33471667305822866,0.0030846308942803317
51,0.5888574067612554,0.32430325896418194,0.002173123325164775
52,0.6001692516020357,0.32972013625097873,0.0020388852570037337
53,0.49596273316412576,0.3152695834209215,0.0027444833599999264
54,0.4827844257099261,0.3391337489516536,0.002806228849820539
55,0.4957567092585362,0.3462074394129002,0.0033737892855432005
56,0.5556730577558812,0.33227109578325514,0.003376543520262701
57,0.5735698508230186,0.34843796265914195,0.0030727963711555746
58,0.6898458592980784,0.3458469952858787,0.002920995298277904
59,0.4348785279899498,0.335770727377568,0.0024256899151515535
60,0.6862472813397703,0.335280577489811,0.0031869345742012957
61,0.8233683588360748,0.3362814572223323,0.003543748412172818
62,0.4854429580925395,0.36434720241408103,0.0029556272930451634
63,0.4915361903709032,0.3337991904151243,0.0028576681906615944
64,0.9999965933522201,0.3312808058661072,0.00351732845715857
65,0.5699625589504358,0.3335356899235662,0.0027561253497008016
66,0.5575014475521262,0.341495820890753,0.003719676829900058
67,0.5676351912147314,0.34251132527380773,0.0035398058545897575
68,0.006679267588892722,0.3536721362987602,0.0035227767509700696
69,0.5665858450975831,0.33249103818370823,0.002914125970167885
70,0.3384783678993294,0.35314592696699854,0.0036867853367160987
71,0.5530681942269496,0.3282647823563564,0.0030135443560676102
72,0.5670875738809792,0.34090998420945534,0.0036240127262985116
73,0.9445936166597176,0.32834725243977786,0.0035432472118652114
74,0.9057403001564145,0.32315535348093544,0.0024883474647322897
75,0.999996093740177,0.3218359269184055,0.0027988440733502234
76,0.5599744458875342,0.3486610962969405,0.003659357483911368
77,0.5748568710421152,0.35649367196753784,0.0035042503473447714
78,0.8644117377624668,0.3047452002926244,0.00286625976927987
79,0.5743231134092529,0.3397097705049213,0.002626157757024441
80,0.5657994416477636,0.31360614981404844,0.0027745117981142035
81,0.5049641698953274,0.34703040808918745,0.003909006702751815
82,0.639870767374475,0.31945030274028907,0.0031637157187137835
83,0.4487217558636304,0.34319530487436756,0.0027910177137744165
84,0.5671822727382112,0.3411907133155696,0.002831980941364513
85,0.7379441812325955,0.31813333481397255,0.002819391522941147
86,0.6714699742949116,0.3119306396598638,0.002589694517062604
87,0.5669242125113293,0.3680524588708631,0.003180234364601938
88,0.49522907313422715,0.3129340592584925,0.002741074930659656
89,0.8215436365343594,0.3308147441382078,0.0029557041151755665
90,0.8736674527478545,0.33373157051201285,0.0030405124908772286
91,0.8363221633241381,0.3368973342571958,0.003392963950888279
92,0.5800846758253655,0.3625961509503178,0.004557389452362167
93,0.833362329463877,0.32675482820851154,0.0025226907699640176
94,0.9999965734209245,0.3180114669314529,0.0028395098719004794
95,0.47690097677977844,0.34009888688656487,0.002988476323086708
96,0.5565137836010389,0.35343697415271746,0.0038002066951753843
97,0.8386501828102699,0.35071634213370484,0.0030777750842411835
98,0.49024891820651134,0.3299165531136513,0.003399300868614704
99,0.5304591292920181,0.34064356827704995,0.0030960274647869037
100,0.4993634769105408,0.32587352790314705,0.0038900591330660703
101,0.5641781851270183,0.3322669726489479,0.0036384114829076403
102,0.5382665735491914,0.33851060522275034,0.0038773548933544195
103,0.9118030559039945,0.33787795045972846,0.003353126236944554
104,0.6376043243296767,0.3248542388853919,0.0025462389430793374
105,0.4833996019224532,0.3409443378290723,0.0030810784901787003
106,0.8104888012890591,0.3424561768570692,0.002793008558105192
107,0.8138517861013553,0.35214182198751237,0.0031639538021833867
108,0.9999938636993673,0.3162203709666041,0.002851949066168325
109,0.49729310566116214,0.34891199827217756,0.003197520503814042
110,0.2210598747028167,0.3577768571308524,0.003382398242140089
111,0.9040380053289351,0.3171414606631979,0.0034710434908280124
112,0.5768544281264316,0.3535822524532355,0.00332624260058382
113,0.6374663009298189,0.3115608293393761,0.0025656146949484954
114,0.9999959801362373,0.3657872612003093,0.002914125970167885
115,0.4996799516991019,0.35735771128172156,0.003498400979768423
116,0.7103909060484148,0.3244374821095951,0.0027629376385756273
117,0.28927513117502207,0.3404630274106758,0.0025802831936587944
118,0.6599918978762319,0.3248353239911698,0.002764358842173013
119,0.5639358619799807,0.3244252374541543,0.0029937848124998922
120,0.9276642290901632,0.3381287836432606,0.003152016866488731
121,0.5716091100492193,0.3427619655965978,0.0032569764555650626
122,0.5713548391748458,0.342021779822437,0.0035428456532303975
123,0.6904933980987663,0.30745993343699796,0.0024486909695530822
124,0.15079594629616344,0.30513014894825197,0.0028367877064165033
125,0.5271482024432808,0.3307841922675031,0.002908452534142787
126,0.7083608444055537,0.31812221643864486,0.0028342638682362004
127,0.579725061012657,0.36160715576054236,0.0031554680541113363
128,0.8695511474460954,0.31784674219803044,0.0030062185501989356
129,0.5017781250869516,0.36317990309170883,0.003007357874865097
130,0.8846447822555249,0.36222521183928585,0.0033475417204952332
131,0.5033052969529827,0.3673579627647669,0.003390757839492888
132,0.5217454210900158,0.3518560284886681,0.0034991744304860494
133,0.6237906425023776,0.31898079787931105,0.0031043047299319625
134,0.6278912902045425,0.3243513678174492,0.0025131017552638816
