,mu,sigma,nu
0,0.4915702659092992,0.33390438647580195,0.0024982334392844975
1,0.5732829453633733,0.34761318183545376,0.0032328845294437494
2,0.5099506732800659,0.3611111867789769,0.003668488188847164
3,0.8236120031871055,0.33700791097342947,0.003334350675202063
4,0.5519031618016232,0.3207309291859335,0.002989705192178624
5,0.9999959801362373,0.3635113575846911,0.0029174593467741336
6,0.5652646115808712,0.335524071668373,0.0030783749646745456
7,0.5857214780861828,0.3717318210119121,0.003140136454125741
8,0.8911937478932102,0.3826476570193774,0.003885133832796858
9,0.9999945183755202,0.31221049305931947,0.002683696798848051
10,0.9999959801362373,0.3334151091416309,0.0031576823709433505
11,0.5739690164137438,0.3495801515259924,0.003415923239778169
12,0.8217498122584617,0.3314332851133212,0.003592691876989617
13,0.8818397926126486,0.34907551306888834,0.0033349876848498762
14,0.521440484949135,0.35098780668237173,0.0035637756903956525
15,0.7794837259813956,0.322201875147433,0.0024972822977280132
16,0.8243451529905282,0.3391701605951191,0.002728225667349959
17,0.6294660948471735,0.32964368971741465,0.002956248238955559
18,0.7548051779226452,0.37795805282790723,0.003066741004669402
19,0.9999950945933749,0.3343838431564388,0.0032505899160950396
20,0.9999959801362373,0.3290811257063879,0.003536359678006797
21,0.5577475640179057,0.3569151373682328,0.003173981280004178
22,0.9391585088229364,0.3705620758671221,0.0030830012616166955
23,0.833445149252601,0.33555080364811796,0.002650969618890975
24,0.33222569113030787,0.35240653713076836,0.0025972601292491037
25,0.5263595256562316,0.33537341321608194,0.0026523126227774073
26,0.7899828545696644,0.34209558180296884,0.002875195102046761
27,0.5265100213676512,0.32885037866250044,0.0028160333787893652
28,0.5056822674862158,0.3447168687477146,0.00304536707947849
29,0.9999965248921467,0.33703933687962956,0.0030610635963331505
30,0.9999950240275823,0.3622581610126727,0.003019427448194665
31,0.9995332095102852,0.32767229672442694,0.003358367002031602
32,0.9953503535860702,0.34288901330991317,0.003058726625056238
33,0.9605951515015161,0.3739101756459992,0.003015326755439887
34,0.526524978114732,0.3289088029843164,0.0026784206525707573
35,0.8779086297697528,0.3376283232594266,0.003481113295120574
36,0.5832643828279577,0.3650749693836938,0.002755585008758934
37,0.6354077309528544,0.3471942301105621,0.0028664462228471205
38,0.5350702450788528,0.3539170105415656,0.0027766171243477585
39,0.8353948739200783,0.335542973558261,0.0025751096980437603
40,0.516917434026684,0.3378590880661637,0.0034723539581998004
41,0.9204362569832435,0.365195951350908,0.003893134303667174
42,0.7210458916148461,0.355763119022844,0.003248562014207315
43,0.9999948348606796,0.35798006946726585,0.0032335510536117477
44,0.6920433879161496,0.352141332851676,0.0035382132203003614
45,0.4973257209497636,0.3242789991942926,0.0031868842385723525
46,0.8433297232699346,0.3638138905223231,0.003158707301708611
47,0.9887244768806737,0.36638734650415444,0.002741705956134077
48,0.5771244862586624,0.3628041280421244,0.0029174593467741336
49,0.73962826213029,0.33541814427946853,0.002845290645556921
50,0.6910908371749559,0.34659438043390717,0.002341539193085964
51,0.8724096368722459,0.3267153009098956,0.003130850913426189
52,0.5425484259664556,0.3744470586527573,0.0034732308925832785
53,0.5407306071469378,0.3695578000789416,0.0036954421364015933
54,0.5423099292812542,0.33403064831376456,0.00209900583805575
55,0.38511018101882144,0.35946427289846533,0.003354758696657876
56,0.5283529203978814,0.3412748268483819,0.003441733787057521
57,0.7385256974064554,0.3321152343160182,0.0030191878180502456
58,0.5204736434746052,0.3482255229179087,0.0030352474965584355
59,0.5464414183593194,0.32369750950671555,0.0030072156251251658
60,0.5633442976772496,0.3722589838110701,0.0034813503433323953
61,0.9860790502893922,0.35908737784922967,0.0036238149363420403
62,0.8827024954841072,0.3568240857443699,0.0032839655570437803
63,0.9999939994825775,0.3654078485821228,0.0036470389564215873
64,0.778484313341331,0.3245845900461687,0.002792933052907752
65,0.7909169644396449,0.34481552716477515,0.0028166296037628333
66,0.6952168765046067,0.36103627074382183,0.0030752334609977887
67,0.9999937820356898,0.3422546038799691,0.0035285388585063696
68,0.7440457082499365,0.3367710527236425,0.002723373457343676
69,0.5687827065264701,0.33903450168855337,0.0032783449066430314
70,0.38782810562185094,0.3669458092249419,0.0037664759681331687
71,0.5702721190277874,0.3501252449643815,0.003167126346684514
72,0.8236685813693254,0.3206060978358374,0.0026350423826892503
73,0.3676400663957813,0.3090998590260553,0.0025816365432905957
74,0.870856347135171,0.31605689335580417,0.002823309963212959
75,0.8777012145338133,0.3456044924559789,0.003205659858034808
76,0.9537573654229831,0.3551611388564724,0.0032591379400272583
77,0.5062727633206884,0.3737544766424759,0.0035046844980628116
78,0.5670422340252328,0.34077566212388694,0.0035556435825585225
79,0.5961451003730192,0.32540074942188474,0.0024177207560486386
80,0.7467012472277409,0.34456623446307966,0.0028605671709296798
81,0.4871500630022684,0.3203903028799421,0.0033383155735976096
82,0.8384402532457887,0.35011687022572785,0.0034734759481455826
83,0.7367657506262254,0.32677593089957724,0.002708859659235905
84,0.7382008782836897,0.3311344263834387,0.002834212124717715
85,0.7933653016977674,0.35184358939890953,0.0029431189620141686
86,0.8792545784833256,0.35006703478755324,0.00399727800651214
87,0.9999949441550602,0.3415817534728804,0.003503352049128652
88,0.5781587984508064,0.3656376845725681,0.0033042179589588567
89,0.6677993206710937,0.34803816097630474,0.002962035085501452
90,0.3803214347631512,0.3477039572959233,0.0028572170305620915
91,0.5247616617624092,0.36032449424495583,0.003633190505338111
92,0.9819480753585302,0.347395975455041,0.003176598967789699
93,0.524660607992903,0.3600398682864097,0.0041774485700219275
94,0.9999935620326895,0.34561677602543145,0.003509205877828509
95,0.8854711345191689,0.3644995449248878,0.003653878051453607
96,0.999995422907752,0.365389290115825,0.0041910616203211576
97,0.9999955710228536,0.368359597817538,0.003562173623076414
98,0.8116862104593623,0.3459430575895817,0.0033625459602468805
99,0.6543643133634185,0.32670282120747807,0.002219738767869336
100,0.9999950510264298,0.3561712719078326,0.0038699206271010783
101,0.9999941426234423,0.3364041584234543,0.0031039036429732626
102,0.5277325898160108,0.33945537781787094,0.003320339476976258
103,0.3749393402386438,0.3318666551442932,0.003138434797154828
104,0.48412793533631665,0.34806324104564323,0.003427510527173793
105,0.6882514130402623,0.3415825169334288,0.0022912132625556364
106,0.9999957062088535,0.3750251893290021,0.0033327939075742494
107,0.9999945531902166,0.3743078296443651,0.00358879271348143
108,0.7529979520465795,0.3623737616885243,0.0032356992554241366
109,0.5167066343630569,0.3793596288077584,0.0029434610910447907
110,0.999996129661981,0.34842699877688665,0.0030759001849371284
111,0.9999953192913977,0.3756856470824189,0.003202723897799692
112,0.5379510713252385,0.3952285518069999,0.003610221224888412
113,0.5253588780881622,0.3619809682887073,0.0029897852881192255
114,0.9999959801362373,0.37914530666051444,0.0035841958780467443
115,0.9208677204263529,0.31739738397386014,0.0031089942401568193
116,0.8396851718021062,0.35365527735591673,0.003164337373673924
117,0.5306765067405099,0.37637609376518727,0.0034606542720430353
118,0.6252020884177755,0.3164466582524288,0.0029537097053938016
119,0.8082139055862007,0.33575727011931084,0.0032205085708992076
