,mu,sigma,nu
0,0.8824758181175995,0.3561854156911354,0.003971289076739837
1,0.8658181819494432,0.31442664872807846,0.002595884208752235
2,0.9999964587368712,0.3356880723485383,0.0028506250945510483
3,0.9999961057194238,0.3657655750311271,0.003428706617830644
4,0.6340839091505814,0.34336299422140704,0.002994245183052185
5,0.999996201926598,0.3853024795750367,0.0030232762186959278
6,0.9999962416549383,0.35617945796204714,0.003259644784158056
7,0.572331492366718,0.34934115921299763,0.0029977508105689093
8,0.8357529178736876,0.3423592481086674,0.003360996337272226
9,0.5564401612572948,0.33457420851010317,0.0032955029050834397
10,0.8258477935452628,0.34357602097322004,0.0029063506429342746
11,0.56713848333225,0.3341494239529087,0.0030144035122236933
12,0.5060695469191284,0.34583628909284697,0.0034868963296965268
13,0.9837630935524627,0.3525772188249658,0.003701512706698803
14,0.5092724274633693,0.3592319851599291,0.0028994086641694716
15,0.999995043762098,0.3446466724401559,0.0033371381893737987
16,0.527401836506903,0.3384560599431038,0.0029392195384610035
17,0.9791209173619158,0.34265537918680766,0.0031068950513848848
18,0.6935736959966432,0.35646048886201637,0.002835752811261269
19,0.887558905695263,0.36508796704150087,0.003458277981089418
20,0.869088015641995,0.3735521525830855,0.0032773234440227035
21,0.8313224288144548,0.3291630282657636,0.0034056130066889797
22,0.5316334728720751,0.3183222238569845,0.0027661320985717403
23,0.5004017774719457,0.3289007709142798,0.002643013026494883
24,0.5752369178714576,0.35756072124571475,0.003423736335322135
25,0.5447155476371253,0.30615097679573744,0.0022784764846265995
26,0.8846915442110999,0.3571527911366222,0.0030322528060451816
27,0.4043480408847985,0.30502972649862475,0.0019193433927172177
28,0.9980459546794201,0.323106289322686,0.0030842774176048525
29,0.999993600803459,0.34500947691567135,0.0032531626455672524
30,0.3210291862241292,0.3420395726818516,0.002412064678062518
31,0.9999957400762141,0.34623223010689086,0.00366465683751168
32,0.5049488951182184,0.3469903796551323,0.002878795538005187
33,0.46576389056143225,0.30658199839052935,0.0019411622843757722
34,0.3834571163828581,0.3535685296628551,0.0030001689697537757
35,0.48820655790696466,0.321825162182634,0.002771075911573851
36,0.9999923703077372,0.3561640818536742,0.004002499160290621
37,0.5239226101675425,0.3579901053441182,0.0036689343494556988
38,0.4802886887954979,0.33169614381589785,0.0028211232963455124
39,0.6359946826464727,0.307061496153955,0.0026775530859239967
40,0.5087468957832436,0.35349285887161785,0.0032337267643117377
41,0.5900235931694453,0.3336627761386488,0.002355606921193573
42,0.6047120580801456,0.3401626447458696,0.0024015199368293736
43,0.49771412316894464,0.32547248695857817,0.0031435108515808245
44,0.9965861954757282,0.32800221162157844,0.0025888616405252258
45,0.9999963628268993,0.3513511591993219,0.0033896876370623336
46,0.8408375129717435,0.3568957713435404,0.003069395185862847
47,0.5561271906367287,0.3444051287150353,0.002498100889163685
48,0.21906159565005717,0.31840163277524847,0.0029714105742370254
49,0.7588651614171131,0.3387670957823412,0.0023300825414289987
50,0.8861507034091821,0.366353384496266,0.004124611311182961
51,0.5380170047623559,0.36214587389666913,0.003376417616406387
52,0.9999938151768296,0.37406971883271184,0.0028489773762678133
53,0.634148499189189,0.34354893069827763,0.003212967820412834
54,0.5760513044775385,0.3094850075693721,0.0021576977619666557
55,0.8748450791065665,0.33723908831871163,0.003028022304303152
56,0.4836327408886873,0.3296342157389204,0.002606103191865926
57,0.6530567415361134,0.34810749233301896,0.00262342561198725
58,0.49330206329818654,0.33905064999840473,0.002634626294331451
59,0.6704276758554969,0.35550471393890515,0.0033025702861227157
60,0.38228529627207464,0.3300975844310059,0.0023647372227398288
61,0.9999944711619195,0.35617484231665736,0.0032340042451338862
62,0.6502950410603217,0.35277832524142294,0.0031210432058728205
63,0.3927049586440589,0.35249209196549897,0.0025301310661939255
64,0.5681708402848475,0.3679623620578772,0.003486066574034571
65,0.9999947466004357,0.36747923868936827,0.0036772069855252874
66,0.8834222662611426,0.3617766332322717,0.003150359201134695
67,0.6522010812853434,0.355956165786748,0.0032045879623160086
68,0.476080494916012,0.3241291350661884,0.002705510098476712
69,0.9999941379151274,0.38181674578844904,0.003429396925832496
70,0.646470985273921,0.33947822677570344,0.002852598356176198
71,0.6755370888423871,0.35701110237832445,0.0028214502328275945
72,0.541499392227436,0.3479289011264048,0.0036593354257144785
73,0.9999957057672801,0.35971142342791956,0.0031618150050207595
74,0.625223799447667,0.31651257137325495,0.0026838026039789063
75,0.9968746728151027,0.3194574343347406,0.0035238289000147083
76,0.9852784722822021,0.356849765313238,0.003559667377960099
77,0.6669256791234485,0.3455161766585722,0.003331435302056775
78,0.522781146394982,0.32454314553465885,0.0028990261124926093
79,0.6337874813705203,0.34259762428137447,0.0026342264845229646
80,0.5364846502303302,0.36431903603973864,0.0034370241620772513
81,0.34230943173204,0.33564608388594974,0.00225822303515422
82,0.9513050496033776,0.3340785064554185,0.0024368487610341356
83,0.4784134426087425,0.3312416136784496,0.0031750831261362442
84,0.9870705581230962,0.31783276443433206,0.0032404590508971942
85,0.5720520602327411,0.35517249828773984,0.003542004026441223
86,0.7820040251625113,0.31791795078077245,0.0030409812663156595
87,0.9999947294318126,0.32487406600815044,0.0027773527766001903
88,0.8760033541838653,0.337534651376954,0.00313543132769171
89,0.533649579445836,0.3498801995903141,0.003757917932121975
90,0.05258196041597886,0.33052202158702076,0.0025527336052139824
91,0.8669582587211211,0.309581821670659,0.0029244088194976107
92,0.6275648086095214,0.33059393734512627,0.0025608367688041028
93,0.411762927580286,0.30929088001004335,0.0018316464211169598
94,0.36656563548844656,0.32481984003940256,0.0023902073873465976
95,0.9999935874877868,0.3315401709547683,0.002792459768178749
96,0.5211499550928338,0.32208272168479785,0.0026479721360535093
97,0.7005153828982639,0.3356664568110596,0.0024703162879486586
98,0.2605869240977863,0.3500837682944669,0.0029892829438851816
99,0.4883572490198423,0.3305096314359262,0.0023723566699380425
100,0.8502756740576783,0.3213214675319006,0.002516379094092098
101,0.5859598155354014,0.38233360415518935,0.003946973926266247
102,0.06138679941747793,0.35037252072427916,0.0030841458456479626
103,0.5708669810019132,0.34512739276520854,0.0029174593467741336
104,0.9858340304299513,0.3617084079260374,0.0037840648065375244
105,0.49951290970509266,0.32633889482962897,0.002725072850504484
106,0.6938900480924707,0.3573467143549725,0.0032635877744012273
107,0.9999947395006665,0.37574774126350463,0.003371460172694748
108,0.71593292620544,0.3410967131695325,0.0027165097403973
109,0.5138456126391333,0.32864588223272906,0.002800287936776379
110,0.8085657769273552,0.3368095987213286,0.002723404488147069
111,0.4999100701108276,0.32754641929746936,0.002985619798253232
112,0.45284005167561514,0.34464741806286425,0.0025422189752327723
113,0.8821986801596771,0.3554112139464631,0.0028973291089695093
114,0.999994554538784,0.36272320586736817,0.003238994079561821
115,0.6464233515414803,0.3269818941756201,0.0025236305126255187
116,0.6393516217624153,0.358372802207019,0.003343082591114286
117,0.35601512041876804,0.3235664781681176,0.0021441628932853947
118,0.5716561840237736,0.3474016350009946,0.0034765367022682554
119,0.20040786042918077,0.3537470802572362,0.0029962199721370727
120,0.8122307388846742,0.34751240031613795,0.002834351668171243
121,0.5723983204561789,0.35614882576170825,0.0029763644657071356
122,0.5611443649306066,0.3483501372620894,0.002811099167137438
123,0.5188146245794709,0.38486924270591405,0.003809973589128436
124,0.8917518923035938,0.38410736599691236,0.0030699703411197787
125,0.5564728722091908,0.33466890334573535,0.0035295016640385637
126,0.2519312500161379,0.33086095490297873,0.0025636608995040517
127,0.6897009499164676,0.3454253984310563,0.003062350929882047
128,0.9999943851406954,0.3434108869970873,0.0030996799317522844
129,0.7091411421473321,0.3205672655193797,0.0031064082247478308
130,0.5633615859191657,0.35465433345519154,0.003094949787054824
131,0.8371643305727685,0.3194551048695897,0.002291418616933808
132,0.6590909430157799,0.32244404899907514,0.0023136292875777223
133,0.9999952678257489,0.3619034634011526,0.0030063360535779486
134,0.6477128816844977,0.3431186173557841,0.0030355306750802277
